date,binary_mean,binary_squared_mean,binary_sqrt_mean,prob_mean,prob_squared_mean,prob_sqrt_mean
1/2/2020,0.181,0.128,0.222,0.115,0.106,0.131
1/3/2020,0.34,0.328,0.325,0.282,0.271,0.266
1/4/2020,-0.509,-0.734,-0.343,-0.259,-0.447,-0.139
1/5/2020,-0.21,-0.436,-0.101,-0.151,-0.335,-0.067
1/6/2020,0.417,0.149,0.518,0.356,0.28,0.369
1/7/2020,-0.117,-0.146,-0.084,0.05,0.065,0.057
1/8/2020,0.079,0.016,0.112,0.124,0.107,0.132
1/9/2020,0.428,0.28,0.494,0.158,0.071,0.196
1/10/2020,0.34,0.25,0.377,0.201,0.179,0.205
1/11/2020,-0.027,0.004,-0.055,0.052,0.065,0.038
1/12/2020,0.317,0.273,0.329,0.402,0.369,0.41
1/13/2020,0.178,0.181,0.156,0.232,0.263,0.203
1/14/2020,0.221,0.186,0.217,0.253,0.239,0.246
1/15/2020,0.392,0.356,0.411,0.188,0.16,0.2
1/16/2020,0.414,0.423,0.41,0.329,0.34,0.324
1/17/2020,0.252,0.291,0.215,0.254,0.307,0.224
1/18/2020,-0.018,-0.172,0.061,0.098,-0.025,0.166
1/19/2020,0.348,0.25,0.4,0.387,0.31,0.427
1/20/2020,-0.014,0.075,-0.054,-0.038,-0.012,-0.048
1/21/2020,0.568,0.435,0.641,0.448,0.418,0.459
1/22/2020,-0.119,-0.025,-0.172,0.086,0.141,0.053
1/23/2020,0.243,0.268,0.23,0.263,0.305,0.241
1/24/2020,0.187,0.207,0.169,0.127,0.122,0.127
1/25/2020,0.296,0.279,0.282,0.189,0.129,0.204
1/26/2020,-0.334,-0.452,-0.248,-0.14,-0.208,-0.092
1/27/2020,0.172,0.204,0.147,0.112,0.098,0.113
1/28/2020,0.208,0.068,0.273,0.156,0.083,0.192
1/29/2020,0.868,0.914,0.847,0.589,0.615,0.567
1/30/2020,0.352,0.119,0.452,0.216,0.09,0.273
1/31/2020,0.319,0.179,0.377,0.447,0.377,0.473
2/1/2020,0.506,0.429,0.534,0.457,0.442,0.456
2/2/2020,0.23,0.016,0.316,0.132,0.001,0.182
2/3/2020,0.49,0.493,0.504,0.343,0.347,0.342
2/4/2020,0.524,0.543,0.523,0.357,0.377,0.35
2/5/2020,0.199,0.369,0.103,0.363,0.515,0.275
2/6/2020,0.164,0.036,0.245,0.175,0.096,0.228
2/7/2020,-0.079,-0.1,-0.075,0.049,0.063,0.035
2/8/2020,0.26,0.463,0.137,0.178,0.304,0.11
2/9/2020,0.298,0.248,0.317,0.297,0.24,0.323
2/10/2020,1.0,1.0,1.0,0.644,0.68,0.625
2/11/2020,0.027,0.069,0.012,0.157,0.212,0.129
2/12/2020,0.535,0.664,0.468,0.305,0.376,0.264
2/13/2020,-0.077,-0.202,-0.032,-0.013,-0.099,0.026
2/14/2020,-0.109,-0.134,-0.093,0.08,0.083,0.076
2/15/2020,0.662,0.804,0.557,0.399,0.499,0.327
2/16/2020,0.157,0.065,0.174,0.281,0.231,0.29
2/17/2020,0.087,0.1,0.105,0.148,0.135,0.169
2/18/2020,0.494,0.457,0.501,0.373,0.347,0.379
2/19/2020,0.166,0.221,0.127,0.179,0.212,0.158
2/20/2020,0.19,0.252,0.158,0.142,0.137,0.143
2/21/2020,0.729,0.618,0.784,0.382,0.285,0.421
2/22/2020,0.132,0.009,0.2,0.216,0.146,0.257
2/23/2020,0.921,0.972,0.876,0.62,0.633,0.598
2/24/2020,0.064,0.026,0.078,-0.037,-0.108,-0.001
2/25/2020,0.147,0.122,0.158,0.14,0.073,0.179
2/26/2020,0.245,0.269,0.246,0.228,0.251,0.221
2/27/2020,0.467,0.584,0.404,0.523,0.629,0.464
2/28/2020,0.444,0.555,0.381,0.462,0.584,0.391
2/29/2020,0.62,0.713,0.565,0.559,0.631,0.523
3/1/2020,0.828,0.852,0.821,0.537,0.561,0.525
3/2/2020,0.335,0.401,0.314,0.227,0.305,0.199
3/3/2020,0.435,0.533,0.385,0.235,0.25,0.225
3/4/2020,0.235,0.271,0.22,0.254,0.311,0.238
3/5/2020,0.42,0.454,0.417,0.281,0.281,0.291
3/6/2020,0.363,0.264,0.399,0.289,0.257,0.301
3/7/2020,0.802,0.852,0.776,0.687,0.731,0.665
3/8/2020,0.291,0.313,0.283,0.019,0.024,0.026
3/9/2020,0.703,0.758,0.672,0.663,0.719,0.63
3/10/2020,0.778,0.905,0.678,0.516,0.542,0.483
3/11/2020,0.465,0.553,0.423,0.477,0.526,0.455
3/12/2020,-0.083,-0.174,-0.04,-0.103,-0.136,-0.088
3/13/2020,-0.31,-0.292,-0.322,-0.239,-0.235,-0.241
3/14/2020,0.189,0.224,0.175,0.065,0.091,0.059
3/15/2020,0.36,0.345,0.353,0.306,0.286,0.292
3/16/2020,0.654,0.751,0.594,0.404,0.471,0.37
3/17/2020,0.037,0.148,-0.013,0.106,0.149,0.086
3/18/2020,0.282,0.277,0.301,0.307,0.331,0.305
3/19/2020,0.146,0.007,0.208,0.055,-0.046,0.104
3/20/2020,-0.197,-0.218,-0.176,0.077,0.093,0.069
3/21/2020,0.186,0.249,0.154,0.221,0.265,0.195
3/22/2020,0.432,0.432,0.44,0.251,0.209,0.276
3/23/2020,0.097,0.223,0.016,0.15,0.248,0.089
3/24/2020,-0.066,-0.094,-0.039,0.028,0.019,0.04
3/25/2020,0.277,0.309,0.234,0.262,0.284,0.237
3/26/2020,0.218,0.305,0.179,0.203,0.227,0.198
3/27/2020,0.754,0.799,0.733,0.417,0.449,0.396
3/28/2020,0.457,0.584,0.394,0.361,0.45,0.321
3/29/2020,0.878,0.91,0.865,0.536,0.559,0.523
3/30/2020,0.121,0.194,0.068,0.15,0.198,0.12
3/31/2020,0.119,0.107,0.13,0.206,0.211,0.206
4/1/2020,-0.513,-0.536,-0.48,-0.201,-0.197,-0.195
4/2/2020,0.338,0.372,0.331,0.335,0.357,0.327
4/3/2020,-0.136,-0.043,-0.199,0.033,0.053,0.015
4/4/2020,0.282,0.138,0.302,0.211,0.103,0.234
4/5/2020,0.797,0.9,0.714,0.529,0.622,0.466
4/6/2020,0.222,0.402,0.15,0.278,0.387,0.234
4/7/2020,0.312,0.15,0.368,0.373,0.28,0.406
4/8/2020,0.788,0.864,0.742,0.558,0.578,0.542
4/9/2020,0.025,-0.073,0.07,0.054,0.015,0.074
4/10/2020,0.377,0.289,0.423,0.484,0.461,0.493
4/11/2020,0.432,0.507,0.409,0.349,0.407,0.33
4/12/2020,0.119,0.255,0.057,0.08,0.19,0.027
4/13/2020,0.512,0.584,0.472,0.394,0.441,0.366
4/14/2020,0.69,0.845,0.573,0.398,0.483,0.342
4/15/2020,0.78,0.916,0.661,0.427,0.556,0.337
4/16/2020,0.351,0.465,0.308,0.196,0.299,0.152
4/17/2020,-0.543,-0.638,-0.532,-0.256,-0.311,-0.25
4/18/2020,0.445,0.641,0.317,0.331,0.421,0.274
4/19/2020,1.0,1.0,1.0,0.779,0.839,0.739
4/20/2020,0.016,-0.06,0.044,0.067,-0.011,0.1
4/21/2020,0.189,0.225,0.188,0.111,0.161,0.099
4/22/2020,0.358,0.305,0.358,0.296,0.261,0.298
4/23/2020,-0.019,-0.163,0.06,0.295,0.227,0.334
4/24/2020,0.357,0.269,0.375,0.226,0.218,0.215
4/25/2020,0.537,0.56,0.507,0.547,0.558,0.534
4/26/2020,-0.014,0.015,-0.052,0.125,0.155,0.098
4/27/2020,0.121,0.031,0.148,0.117,0.033,0.148
4/28/2020,0.294,0.372,0.238,0.277,0.322,0.248
4/29/2020,0.152,0.222,0.115,0.043,0.066,0.031
4/30/2020,0.232,0.283,0.214,0.217,0.269,0.196
5/1/2020,-0.094,-0.113,-0.089,-0.046,-0.069,-0.038
5/2/2020,0.62,0.679,0.577,0.488,0.548,0.45
5/3/2020,0.332,0.306,0.336,0.261,0.251,0.259
5/4/2020,0.26,0.318,0.233,0.224,0.278,0.199
5/5/2020,0.321,0.354,0.304,0.337,0.355,0.327
5/6/2020,0.363,0.38,0.36,0.274,0.277,0.277
5/7/2020,0.369,0.441,0.326,0.215,0.261,0.192
5/8/2020,0.161,0.201,0.13,0.193,0.251,0.159
5/9/2020,0.251,0.311,0.237,0.232,0.282,0.219
5/10/2020,0.681,0.738,0.657,0.377,0.402,0.372
5/11/2020,-0.117,-0.171,-0.094,0.078,0.061,0.084
5/12/2020,0.613,0.662,0.584,0.39,0.405,0.38
5/13/2020,0.317,0.338,0.306,0.213,0.185,0.225
5/14/2020,0.103,0.061,0.111,0.069,0.025,0.081
5/15/2020,0.182,0.176,0.177,-0.017,-0.039,-0.012
5/16/2020,0.333,0.287,0.364,0.326,0.302,0.342
5/17/2020,0.273,0.301,0.256,0.145,0.163,0.138
5/18/2020,0.417,0.401,0.424,0.365,0.361,0.367
5/19/2020,0.1,0.157,0.08,0.107,0.142,0.097
5/20/2020,0.245,0.264,0.241,0.221,0.263,0.204
5/21/2020,0.423,0.541,0.364,0.271,0.348,0.237
5/22/2020,0.283,0.332,0.262,0.199,0.231,0.186
5/23/2020,0.181,0.21,0.166,0.203,0.24,0.186
5/24/2020,0.295,0.296,0.297,0.311,0.329,0.304
5/25/2020,0.239,0.284,0.217,0.168,0.195,0.153
5/26/2020,0.317,0.321,0.318,0.161,0.17,0.16
5/27/2020,0.512,0.61,0.459,0.324,0.382,0.293
5/28/2020,0.12,0.137,0.103,0.143,0.141,0.139
5/29/2020,0.432,0.482,0.419,0.372,0.446,0.344
5/30/2020,0.186,0.21,0.178,0.18,0.202,0.171
5/31/2020,0.282,0.376,0.234,0.271,0.346,0.233
6/1/2020,0.129,0.201,0.085,0.23,0.275,0.202
6/2/2020,-0.021,-0.074,-0.001,0.1,0.067,0.111
6/3/2020,0.171,0.134,0.178,0.226,0.22,0.223
6/4/2020,0.123,0.123,0.128,0.159,0.18,0.15
6/5/2020,0.104,0.161,0.071,0.177,0.262,0.134
6/6/2020,0.034,0.047,0.02,0.042,0.054,0.032
6/7/2020,0.475,0.495,0.467,0.429,0.445,0.424
6/8/2020,0.114,0.093,0.131,0.15,0.149,0.151
6/9/2020,0.334,0.374,0.307,0.26,0.293,0.239
6/10/2020,-0.029,-0.005,-0.049,0.115,0.146,0.095
6/11/2020,0.143,0.182,0.121,0.18,0.217,0.16
6/12/2020,0.347,0.281,0.382,0.308,0.283,0.322
6/13/2020,0.106,0.051,0.114,0.043,0.03,0.04
6/14/2020,0.161,0.206,0.148,0.227,0.285,0.201
6/15/2020,0.397,0.404,0.394,0.308,0.304,0.311
6/16/2020,0.231,0.356,0.17,0.254,0.34,0.212
6/17/2020,0.1,0.107,0.106,0.114,0.123,0.114
6/18/2020,-0.04,-0.106,-0.005,0.009,-0.003,0.017
6/19/2020,0.35,0.347,0.343,0.337,0.341,0.328
6/20/2020,0.007,-0.157,0.084,0.013,-0.136,0.082
6/21/2020,0.161,0.08,0.19,0.163,0.123,0.169
